ID,TITLE,URL,PUBLISHER,CATEGORY,STORY,HOSTNAME,TIMESTAMP,URL_KEYWORDS
419154,nasa develops robot troop explore alien world,http://post.jagran.com/nasa-develops-robot-troops-to-explore-alien-world-1409135151,Jagran Post,t,dJ2C76xX-rVgkrMBYMD5zhzvqiAPM,post.jagran.com,1409203904031,post jagran
12882,quiznos file chapter 11 bankruptcy protection 2nd update,http://online.wsj.com/article/BT-CO-20140314-709888.html,Wall Street Journal,b,dvbB-zKDpuzTYIM9tyRAdgGjDgzYM,online.wsj.com,1395057079311,online wsj
89827,peach geldof like mother paula yates could resist showbiz glare,http://www.theguardian.com/culture/2014/apr/07/peaches-geldof-paula-yates-showbiz-glare,The Guardian,e,dbkX8-vtewxCqcMTbv2ELSzyqzFNM,www.theguardian.com,1396938337906,theguardian
250787,watch dog release date pc ps4 xbox one ps3 xbox 360 set may 27,http://www.latinpost.com/articles/13390/20140525/watch-dogs-release-date-pc-ps4-xbox-one-ps3-xbox-360-set-for-may-27-ubisofts-latest-open-world-action-adventure-gears-up-for-big-launch.htm,Latin Post,t,dI3ujr1xX69E30MITS-f0QU5KM_fM,www.latinpost.com,1401102772967,latinpost
385721,ben affleck jennifer garner stop kid superhero party,http://abc13.com/entertainment/affleck-garner-stop-by-kids-superhero-party/191777/,KTRK-TV,e,dJSErvyPZN7QacMjGiCm3Da1aurAM,abc13.com,1405572628056,abc13
189504,artificial dna breakthrough could lead treatment,http://stream.wsj.com/story/latest-headlines/SS-2-63399/SS-2-526129/,Wall Street Journal,t,dnaxon70Vq3Pj1MybwCbPmOLmccuM,stream.wsj.com,1399503603613,stream wsj
98116,fed approve facebook acquisition whatsapp,http://www.nationaljournal.com/tech/feds-approve-facebook-acquisition-of-whatsapp-20140410,National Journal,t,dS32ZXYU2ZNEzRME0TpbqdqPexgLM,www.nationaljournal.com,1397236367103,nationaljournal
29760,almost major bank pas fed stress test zion bancorp fails,http://www.proactiveinvestors.com/companies/news/52930/almost-all-major-us-banks-pass-fed-stress-test-zions-bancorp-fails-52930.html,Proactive Investors USA \& Canada,b,dzwWTDFSd0fzZ6MYNS6Ur17aaMO3M,www.proactiveinvestors.com,1395507089833,proactiveinvestors
162958,authority measles fast start case trend,http://www.theyeshivaworld.com/news/headlines-breaking-stories/228460/authorities-measles-off-to-a-fast-start-as-cases-trend-up.html,Yeshiva World News,m,dCk7CzwmLNTX0vMzLWX31oVJGElnM,www.theyeshivaworld.com,1398415096787,theyeshivaworld
366951,abc news doctor nc really need pay attention chikungunya,http://www.wsoctv.com/news/news/local/abc-news-doctor-nc-really-needs-pay-attention-chik/ngZ2g/,WSOC Charlotte,m,dWLfp_J-yh7upwMLYh1sVpjgzqB4M,www.wsoctv.com,1404776616679,wsoctv
383170,bank america earnings insufficient counter regulatory,http://seekingalpha.com/article/2317445-bank-of-americas-earnings-are-insufficient-to-counter-regulatory-and-litigation-uncertainty\?source=yahoo,Seeking Alpha,b,d_LF_1UpoQ2iK5Mu50mFoQ0wkXbeM,seekingalpha.com,1405551525883,seekingalpha
287379,kim kardashian kanye west plan birthday party daughter north,http://www.upi.com/Entertainment_News/2014/06/13/Kim-Kardashian-Kanye-West-plan-birthday-party-for-daughter-North/2101402711134/,UPI.com,e,d3AuCSuOO1axo4Mmyf9jkw7_OjW-M,www.upi.com,1402810332935,upi
49880,report rank health indiana county,http://www.nwitimes.com/business/healthcare/report-ranks-health-of-indiana-counties/article_ef309ace-b05f-5d28-8509-51e5bd527a3a.html,nwitimes.com,m,dpJCxvMytEV3IXMv6LtiI55retxOM,www.nwitimes.com,1395888115466,nwitimes
104751,girl thing young men eating disorder study,http://www.techtimes.com/articles/5371/20140409/not-just-a-girl-thing-young-men-have-eating-disorders-too-study.htm,Tech Times,m,dVo5-l2OcHjxVOMvWXR_C3rP4N-cM,www.techtimes.com,1397302542151,techtimes
224894,astronomer royal need longitude prize,http://www.newscientist.com/article/dn25589-astronomer-royal-why-we-need-a-new-longitude-prize.html,New Scientist,t,djDBaPy6kQL24lM5T8Jj0YdAouopM,www.newscientist.com,1400586825876,newscientist
346327,man v food host adam richman show postponed encouraging woman,http://www.dailystar.co.uk/showbiz/386876/Man-v-Food-host-Adam-Richman-show-postponed-after-Instagram-suicide-taunts,Daily Star,e,djQjM9nsfdbRP1MkdbFGtKx1b1TQM,www.dailystar.co.uk,1404321024800,dailystar co
35948,crash victim family sue gm,http://www.thonline.com/news/business/article_5f05d843-d64c-5c47-a9b5-c88250196f41.html,Dubuque Telegraph Herald,t,d5Vto8sVJePMwkMueuf4hiWjZCzjM,www.thonline.com,1395622887511,thonline
324547,actor shia labeouf arrested outburst broadway theater,http://fox8.com/2014/06/27/actor-shia-labeouf-arrested-after-outburst-in-broadway-theater/,fox8.com,e,dAohq8QZfBkNo5M41b1W1K4qLfsgM,fox8.com,1403867095134,fox8
223126,foreign doctor nurse saudi arabia could spread mers globally,http://www.solarnews.ph/lifestyle/health/2014/05/19/foreign-doctors-nurses-in-saudi-arabia-could-spread-mers-globally,Solar News PH,m,dHtWCfy4k4WtTZMy1NqnbwX4tr_gM,www.solarnews.ph,1400535129314,solarnews
155997,economy watch existing home sale edge march mortgage,http://www.cpexecutive.com/headlines/economy-watch-existing-home-sales-edge-down-in-march-mortgage-delinquencies-continue-to-drop/1004095193.html,Commercial Property Executive,b,dYIVqKGQ17jaALMi_dW8IW1TBkUKM,www.cpexecutive.com,1398335822274,cpexecutive
120126,ebola swift effective bloody killer,http://www.wibw.com/home/headlines/Ebola-A-Swift-Effective-And-Bloody-Killer-255372461.html\?ref=461,WIBW,m,drTt_2HP8GMi5VMjphMIIqeXAEUpM,www.wibw.com,1397596737123,wibw
380481,microsoft announce huge round job cut,http://www.totaltele.com/view.aspx\?ID=486969,Total Telecom,t,dxlZwXXkyL2Xg3M6_ZVfFq2VIWwOM,www.totaltele.com,1405487628792,totaltele
164764,nokia microsoft deal finalised 200 job lost,http://www.knowyourmobile.com/devices/nokia/22084/nokia-microsoft-deal-finalised-200-jobs-lost,Know Your Mobile,t,dfRAuOSSrXTwqPMDULCb-0ctd6XbM,www.knowyourmobile.com,1398467279165,knowyourmobile
99332,rolling stone flub constitution tattoo back julia louis dreyfus cover,http://www.nola.com/tv/index.ssf/2014/04/rolling_stone_flubs_constituti.html,The Times-Picayune,e,d0czVtoiq_v9yrMwOb2twNtD_Y6SM,www.nola.com,1397242096445,nola
108087,possible exomoon found faraway moon,http://thefootballexaminer.com/science-27/possible-exomoon-found-faraway-from-moon-932.html,The Football Examiner,t,dLjHrD20q679DKMR9FGeNgfIHz5SM,thefootballexaminer.com,1397402050256,thefootballexaminer
291764,22 jump street slayed dragon field dream mark 25th anniversary,http://www.nola.com/movies/index.ssf/2014/06/how_22_jump_street_slayed_drag.html,The Times-Picayune,e,dyYualT8YtH_Y-MjAOAH7AV3j5itM,www.nola.com,1402939320272,nola
300928,judge order connecticut teen justina pelletier returned parent,http://www.masslive.com/news/index.ssf/2014/06/judge_orders_connecticut_teen.html,MassLive.com,m,dwoasMsf1JWiMqMZmgg-T1Vxam-7M,www.masslive.com,1403094091231,masslive
121130,china economic growth slows 7 4 q1,http://www.thehindubusinessline.com/news/international/chinas-economic-growth-slows-to-74-in-q1/article5917555.ece,Hindu Business Line,b,dwtwv01Cnj7UynMKklQGwBZvkXEzM,www.thehindubusinessline.com,1397643905372,thehindubusinessline
76041,ebola virus hit second country west africa,http://www.thewire.com/global/2014/03/ebola-virus-hits-second-west-african-country/359889/,The Wire,m,dbzQgmVr34DH16MeV6Diuopi_KbjM,www.thewire.com,1396357439842,thewire
