ID,TITLE,URL,PUBLISHER,CATEGORY,STORY,HOSTNAME,TIMESTAMP
419154,NASA develops robot troops to explore alien world,http://post.jagran.com/nasa-develops-robot-troops-to-explore-alien-world-1409135151,Jagran Post,t,dJ2C76xX-rVgkrMBYMD5zhzvqiAPM,post.jagran.com,1409203904031
12882,Quiznos Files for Chapter 11 Bankruptcy Protection -- 2nd Update,http://online.wsj.com/article/BT-CO-20140314-709888.html,Wall Street Journal,b,dvbB-zKDpuzTYIM9tyRAdgGjDgzYM,online.wsj.com,1395057079311
89827,"Peaches Geldof, like her mother Paula Yates, could not resist the showbiz glare",http://www.theguardian.com/culture/2014/apr/07/peaches-geldof-paula-yates-showbiz-glare,The Guardian,e,dbkX8-vtewxCqcMTbv2ELSzyqzFNM,www.theguardian.com,1396938337906
250787,"Watch Dogs Release Date PC, PS4, Xbox One, PS3, Xbox 360 Set for May 27  ...",http://www.latinpost.com/articles/13390/20140525/watch-dogs-release-date-pc-ps4-xbox-one-ps3-xbox-360-set-for-may-27-ubisofts-latest-open-world-action-adventure-gears-up-for-big-launch.htm,Latin Post,t,dI3ujr1xX69E30MITS-f0QU5KM_fM,www.latinpost.com,1401102772967
385721,"Ben Affleck, Jennifer Garner stop by kids' superhero party",http://abc13.com/entertainment/affleck-garner-stop-by-kids-superhero-party/191777/,KTRK-TV,e,dJSErvyPZN7QacMjGiCm3Da1aurAM,abc13.com,1405572628056
189504,Artificial DNA Breakthrough Could Lead to New Treatments,http://stream.wsj.com/story/latest-headlines/SS-2-63399/SS-2-526129/,Wall Street Journal,t,dnaxon70Vq3Pj1MybwCbPmOLmccuM,stream.wsj.com,1399503603613
98116,Feds Approve Facebook Acquisition of WhatsApp,http://www.nationaljournal.com/tech/feds-approve-facebook-acquisition-of-whatsapp-20140410,National Journal,t,dS32ZXYU2ZNEzRME0TpbqdqPexgLM,www.nationaljournal.com,1397236367103
29760,"Almost all major U.S. banks pass Fed ""stress test""; Zions Bancorp fails",http://www.proactiveinvestors.com/companies/news/52930/almost-all-major-us-banks-pass-fed-stress-test-zions-bancorp-fails-52930.html,Proactive Investors USA \& Canada,b,dzwWTDFSd0fzZ6MYNS6Ur17aaMO3M,www.proactiveinvestors.com,1395507089833
162958,"Authorities: Measles Off To A Fast Start, As Cases Trend Up",http://www.theyeshivaworld.com/news/headlines-breaking-stories/228460/authorities-measles-off-to-a-fast-start-as-cases-trend-up.html,Yeshiva World News,m,dCk7CzwmLNTX0vMzLWX31oVJGElnM,www.theyeshivaworld.com,1398415096787
366951,ABC News doctor: 'NC really needs to pay attention to chikungunya',http://www.wsoctv.com/news/news/local/abc-news-doctor-nc-really-needs-pay-attention-chik/ngZ2g/,WSOC Charlotte,m,dWLfp_J-yh7upwMLYh1sVpjgzqB4M,www.wsoctv.com,1404776616679
383170,Bank Of America's Earnings Are Insufficient To Counter Regulatory And  ...,http://seekingalpha.com/article/2317445-bank-of-americas-earnings-are-insufficient-to-counter-regulatory-and-litigation-uncertainty\?source=yahoo,Seeking Alpha,b,d_LF_1UpoQ2iK5Mu50mFoQ0wkXbeM,seekingalpha.com,1405551525883
287379,"Kim Kardashian, Kanye West plan birthday party for daughter North",http://www.upi.com/Entertainment_News/2014/06/13/Kim-Kardashian-Kanye-West-plan-birthday-party-for-daughter-North/2101402711134/,UPI.com,e,d3AuCSuOO1axo4Mmyf9jkw7_OjW-M,www.upi.com,1402810332935
49880,Report ranks health of Indiana counties,http://www.nwitimes.com/business/healthcare/report-ranks-health-of-indiana-counties/article_ef309ace-b05f-5d28-8509-51e5bd527a3a.html,nwitimes.com,m,dpJCxvMytEV3IXMv6LtiI55retxOM,www.nwitimes.com,1395888115466
104751,"Not just a girl thing, young men have eating disorders, too: Study",http://www.techtimes.com/articles/5371/20140409/not-just-a-girl-thing-young-men-have-eating-disorders-too-study.htm,Tech Times,m,dVo5-l2OcHjxVOMvWXR_C3rP4N-cM,www.techtimes.com,1397302542151
224894,Astronomer royal: Why we need a new Longitude prize,http://www.newscientist.com/article/dn25589-astronomer-royal-why-we-need-a-new-longitude-prize.html,New Scientist,t,djDBaPy6kQL24lM5T8Jj0YdAouopM,www.newscientist.com,1400586825876
346327,Man v Food host Adam Richman's show postponed after encouraging woman to  ...,http://www.dailystar.co.uk/showbiz/386876/Man-v-Food-host-Adam-Richman-show-postponed-after-Instagram-suicide-taunts,Daily Star,e,djQjM9nsfdbRP1MkdbFGtKx1b1TQM,www.dailystar.co.uk,1404321024800
35948,Crash victims' families sue GM,http://www.thonline.com/news/business/article_5f05d843-d64c-5c47-a9b5-c88250196f41.html,Dubuque Telegraph Herald,t,d5Vto8sVJePMwkMueuf4hiWjZCzjM,www.thonline.com,1395622887511
324547,Actor Shia LaBeouf arrested after outburst in Broadway theater,http://fox8.com/2014/06/27/actor-shia-labeouf-arrested-after-outburst-in-broadway-theater/,fox8.com,e,dAohq8QZfBkNo5M41b1W1K4qLfsgM,fox8.com,1403867095134
223126,"Foreign doctors, nurses in Saudi Arabia could spread MERS globally",http://www.solarnews.ph/lifestyle/health/2014/05/19/foreign-doctors-nurses-in-saudi-arabia-could-spread-mers-globally,Solar News PH,m,dHtWCfy4k4WtTZMy1NqnbwX4tr_gM,www.solarnews.ph,1400535129314
155997,Economy Watch: Existing Home Sales Edge Down in March; Mortgage  ...,http://www.cpexecutive.com/headlines/economy-watch-existing-home-sales-edge-down-in-march-mortgage-delinquencies-continue-to-drop/1004095193.html,Commercial Property Executive,b,dYIVqKGQ17jaALMi_dW8IW1TBkUKM,www.cpexecutive.com,1398335822274
120126,"Ebola: A Swift, Effective And Bloody Killer",http://www.wibw.com/home/headlines/Ebola-A-Swift-Effective-And-Bloody-Killer-255372461.html\?ref=461,WIBW,m,drTt_2HP8GMi5VMjphMIIqeXAEUpM,www.wibw.com,1397596737123
380481,Microsoft to announce huge round of job cuts,http://www.totaltele.com/view.aspx\?ID=486969,Total Telecom,t,dxlZwXXkyL2Xg3M6_ZVfFq2VIWwOM,www.totaltele.com,1405487628792
164764,"Nokia Microsoft Deal Finalised, 200 Jobs Lost",http://www.knowyourmobile.com/devices/nokia/22084/nokia-microsoft-deal-finalised-200-jobs-lost,Know Your Mobile,t,dfRAuOSSrXTwqPMDULCb-0ctd6XbM,www.knowyourmobile.com,1398467279165
99332,Rolling Stone flubs Constitution tattoo on back of Julia Louis-Dreyfus for cover,http://www.nola.com/tv/index.ssf/2014/04/rolling_stone_flubs_constituti.html,The Times-Picayune,e,d0czVtoiq_v9yrMwOb2twNtD_Y6SM,www.nola.com,1397242096445
108087,Possible Exomoon Found Faraway from Moon,http://thefootballexaminer.com/science-27/possible-exomoon-found-faraway-from-moon-932.html,The Football Examiner,t,dLjHrD20q679DKMR9FGeNgfIHz5SM,thefootballexaminer.com,1397402050256
291764,How '22 Jump Street' slayed 'Dragon'; 'Field of Dreams' marks 25th anniversary  ...,http://www.nola.com/movies/index.ssf/2014/06/how_22_jump_street_slayed_drag.html,The Times-Picayune,e,dyYualT8YtH_Y-MjAOAH7AV3j5itM,www.nola.com,1402939320272
300928,Judge orders Connecticut teen Justina Pelletier returned to parents,http://www.masslive.com/news/index.ssf/2014/06/judge_orders_connecticut_teen.html,MassLive.com,m,dwoasMsf1JWiMqMZmgg-T1Vxam-7M,www.masslive.com,1403094091231
121130,China's economic growth slows to 7.4% in Q1,http://www.thehindubusinessline.com/news/international/chinas-economic-growth-slows-to-74-in-q1/article5917555.ece,Hindu Business Line,b,dwtwv01Cnj7UynMKklQGwBZvkXEzM,www.thehindubusinessline.com,1397643905372
76041,Ebola Virus Hits Second Country in West Africa,http://www.thewire.com/global/2014/03/ebola-virus-hits-second-west-african-country/359889/,The Wire,m,dbzQgmVr34DH16MeV6Diuopi_KbjM,www.thewire.com,1396357439842
415873,Homeless man accepts Miley's award,http://www.knutsfordguardian.co.uk/uk_national_entertainment/11430496.Homeless_man_accepts_Miley_s_award/,Knutsford Guardian,e,dNwYIHP9adsm2CMtOfOyZwdArrkCM,www.knutsfordguardian.co.uk,1409023888255
